City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,lafiagi,8.8667,5.4167,25.5,19,3,0.08,NG,1674631339
270,bambous virieux,-20.3428,57.7575,24.01,93,100,4.23,MU,1674631340
271,torbay,47.6666,-52.7314,0.88,83,75,11.83,CA,1674631340
272,kudahuvadhoo,2.6708,72.8944,26.66,76,89,3.35,MV,1674631277
273,udachnyy,66.4167,112.4,-40.21,100,77,1.67,RU,1674631341
274,salym,60.0625,71.4789,-8.71,92,100,4.73,RU,1674631342
275,geraldton,-28.7667,114.6,29.23,48,0,10.29,AU,1674631342
276,morro bay,35.3658,-120.8499,9.52,32,0,0.45,US,1674631343
277,tarko-sale,64.9225,77.785,-15.12,95,100,8.36,RU,1674631343
278,chapais,49.7834,-74.8492,-29.12,100,17,1.02,CA,1674631068
279,ulladulla,-35.35,150.4667,25.33,66,0,5.96,AU,1674631344
280,upata,8.0086,-62.3989,20.66,98,25,1.21,VE,1674631344
281,cabo san lucas,22.8909,-109.9124,16.95,73,56,2.13,MX,1674631344
282,north bend,43.4065,-124.2243,4.48,79,1,2.78,US,1674631345
283,port lincoln,-34.7333,135.8667,20.16,58,24,7.29,AU,1674631062
284,key west,24.5557,-81.7826,25.0,78,4,7.6,US,1674631126
285,urengoy,65.9667,78.3667,-15.54,95,100,7.04,RU,1674631346
286,humberto de campos,-2.5983,-43.4611,22.85,96,100,1.16,BR,1674631346
287,caucaia,-3.7361,-38.6531,24.46,84,32,1.14,BR,1674631347
288,ayan,56.45,138.1667,-24.1,79,100,3.44,RU,1674631347
289,kutum,14.2,24.6667,17.86,14,13,4.32,SD,1674631348
290,tuatapere,-46.1333,167.6833,16.08,68,88,2.96,NZ,1674631348
291,khani,41.9563,42.9566,1.76,32,0,1.02,GE,1674631349
292,siniscola,40.5719,9.6922,9.16,86,100,5.33,IT,1674631349
293,ganzhou,28.8184,115.4327,5.56,38,0,1.95,CN,1674631350
294,tiarei,-17.5333,-149.3333,27.01,82,19,7.7,PF,1674631350
295,karratha,-20.7377,116.8463,32.89,52,32,4.41,AU,1674631229
296,tamworth,52.634,-1.6959,4.35,96,99,2.53,GB,1674631351
297,mayo,38.8876,-76.5119,3.4,79,0,2.24,US,1674631351
298,zhanaozen,43.3,52.8,-1.57,37,0,2.55,KZ,1674631351
299,havre,49.5833,0.3333,2.33,93,100,1.54,FR,1674631352
300,djibo,14.1022,-1.6306,23.16,19,61,3.12,BF,1674631352
301,honningsvag,70.9821,25.9704,1.43,74,100,6.09,NO,1674631353
302,kazachinskoye,57.6953,93.2761,-13.66,93,99,1.34,RU,1674631353
303,florida,28.7505,-82.5001,19.34,81,40,0.0,US,1674631353
304,fayaoue,-20.65,166.5333,28.7,75,36,3.75,NC,1674631354
305,esil,51.9556,66.4042,-13.13,94,19,4.67,KZ,1674631354
306,superior,46.7208,-92.1041,-2.95,83,100,0.0,US,1674631265
307,capaci,38.1711,13.2393,9.58,76,36,2.68,IT,1674631355
308,manado,1.487,124.8455,29.43,74,40,2.57,ID,1674631355
309,mwense,-10.3845,28.698,21.57,85,100,1.14,ZM,1674631355
310,kavieng,-2.5744,150.7967,28.41,69,100,3.32,PG,1674631356
311,calama,-22.4667,-68.9333,11.27,71,0,2.57,CL,1674631356
312,ende,-8.8432,121.6623,27.98,79,89,0.81,ID,1674631357
313,disa,24.25,72.1667,22.62,22,0,4.61,IN,1674631357
314,bairiki,1.3292,172.9752,27.38,81,49,7.63,KI,1674631357
315,awbari,26.5921,12.7805,11.28,29,0,1.71,LY,1674631358
316,vadlapudi,14.3167,79.8,28.89,47,92,3.75,IN,1674631358
317,belmonte,-15.8631,-38.8828,24.58,88,100,3.61,BR,1674631359
